id,title,subtitle,authors,categories,thumbnail,description,published_year,average_rating,num_pages
1,The Irish Anatomist,A Study of Flann O'Brien,Keith Donohue,Biography & Autobiography,http://books.google.com/books/content?id=baEJAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The most full length critical and biographical studies of Flann O'Brien(the nom de plume of Brian O' Nolan an otherwise inoffensive Irish public servant) tend to push asid e the leviathan of Cruiskeen Lawn, a commodious, encyclopedic work of some two million words and focus instead on his novels in English. Dr. Donohue in this important new study considers all of O'Nolan's work including college writings, letters to the editor(raised to a form of national genius by F O'B.) and works in Irish. It draws upon the research and biographical material of Anthony Cronin's No Laughing Matter, along with new research and criticism and takes issue with some of the conclusions reached in Keith Hopper's A Portrait of a Postmodernist. By tracing O'Nolan's development as an artist over time, this new study uncovers the relentless anatomist and post modernist in Flann O'Brien, a man of genius dissecting and exposing life and custom in mid 20th century Dublin. O'Nolan's views on the arts and the novel are carefully discussed along with his relation to the literary Ireland of the deValera years.",2002,5,222
2,Fanning the Flame,"Bible, Cross & Mission : Meeting the Challenge in a Changing World",Christopher J. H. Wright,Religion,http://books.google.com/books/content?id=U-tpkgEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The Bible, the cross, and the mission – by leading members of the evangelical Anglicans.",2003,5,336
3,Harry Potter,"5 Years of Magic, Adventure, and Mystery at Hogwarts",J. K. Rowling,Juvenile Fiction,http://books.google.com/books/content?id=DAAAAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first five years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, and The Order of the Phoenix. Simultaneous.",2004,4.78,2690
4,The Harry Potter Collection,The First Six Spellbinding Adventures at Hogwarts,J. K. Rowling,Juvenile Fiction,http://books.google.com/books/content?id=v0z1PQAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The first six years of Harry Potter magic are captured in a boxed set which includes The Sorcerer's Stone, The Chamber of Secrets, The Prisoner of Azkaban, The Goblet of Fire, The Order of the Phoenix, and The Half-Blood Prince.",2005,4.73,3342
5,The Price of the Ticket,"Collected Nonfiction, 1948-1985",James Baldwin,Literary Criticism,http://books.google.com/books/content?id=VbkZxwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The works of James Baldwin constitute one of the major contributions to American literature in the twentieth century, and nowhere is this more evident than in The Price of the Ticket, a compendium of nearly fifty years of Baldwin's powerful nonfiction writing. With truth and insight, these personal, prophetic works speak to the heart of the experience of race and identity in the United States. Here are the full texts of Notes of a Native Son, Nobody Knows My Name, The Fire Next Time, No Name in the Street, and The Devil Finds Work, along with dozens of other pieces, ranging from a 1948 review of Raintree Country to a magnificent introduction to this book that, as so many of Mr. Baldwin's works do, combines his intensely private experience with the deepest examination of social interaction between the races. In a way, The Price of the Ticket is an intellectual history of the twentieth-century American experience; in another, it is autobiography of the highest order.",1985,4.7,712
6,Restless Till We Rest in You,60 Reflections from the Writings of St. Augustine,"Saint Augustine, Bishop of Hippo;Thomas Paul Thigpen",Religion,http://books.google.com/books/content?id=nREGAAAACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"""Restless Till We Rest in You"" features spiritual pearls from the works of St. Augustine (354-430 A.D.), including his ""Confessions"" and ""The City of God"", as well as rich insights from his homilies, especially those based on John's Gospel and epistles. As part of the ""Saints Speak Today Series"", this title features 60 daily readings, along with scripture passages and hymns.",1998,4.67,158
7,The Hobbit / The Lord of the Rings,The Hobbit / The Fellowship of the Ring / The Two Towers / The Return of the King,John Ronald Reuel Tolkien,Fiction,http://books.google.com/books/content?id=rW9cLwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Presents a box set including the complete ""Lord of the Rings"" trilogy, as well as its prequel, ""The Hobbit.""",2012,4.59,1728
8,Simple Acts of Faith,Heartwarming Stories of One Life Touching Another,Margaret Feinberg,Religion,http://books.google.com/books/content?id=hSnhJMi6TiQC&printsec=frontcover&img=1&zoom=1&source=gbs_api,"The beloved art of Normal Rockwell chronicles small-town America and reflects the simple kindnesses that paint ordinary life with shades of the extraordinary. This gathering of select Rockwell classics is joined by stories that illuminate acts of goodwill that transformed people's lives: A cycle shop owner gives Lance Armstrong his first bike, and the rest is history. The young, hurting Frank Peretti is shown compassion that opens up his heart. One man's sharing of faith changed the life of shoe salesman Dwight L. Moody. Norman Rockwell fans, Americana collectors, and those who cherish an uplifting look at life will treasure this celebration of family, community, and the goodness that overflows from the simplest acts of faith.",2003,4.55,48
9,Reader's digest complete guide to the Bible,an illustrated book-by-book companion to the Scriptures,Reader's Digest,Religion,http://books.google.com/books/content?id=DOgJAQAAMAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Gathers background information about each chapter of the Bible, explains unfamiliar words and phrases, and includes a timeline of Biblical events",1998,4.55,448
10,Disney's Little Einstein,Mission: Where's June?,Susan Ring,Juvenile Fiction,http://books.google.com/books/content?id=0BNTtAEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,"Leo, Quincy, Annie, and Rocket travel the world to find where June is hiding.",2006,4.55,24
